,0,1
0,B.1.525,VOI
1,B.1.526,VOI
2,B.1.617.1,VOI
3,B.1.617.3,VOI
4,B.1.1.7,VOC
5,B.1.351,VOC
6,B.1.351.2,VOC
7,B.1.351.3,VOC
8,B.1.617.2,VOC
9,AY.1,VOC
10,AY.2,VOC
11,AY.3,VOC
12,AY.4,VOC
13,AY.5,VOC
14,AY.6,VOC
15,AY.7,VOC
16,AY.8,VOC
17,AY.9,VOC
18,AY.10,VOC
19,AY.11,VOC
20,AY.12,VOC
21,P.1,VOC
22,P.1.1,VOC
23,P.1.2,VOC
