,0,1
0,AV.1,VOI
1,B.1.1.318,VOI
2,B.1.427,VOI
3,B.1.429,VOI
4,B.1.525,VOI
5,B.1.526,VOI
6,B.1.617.1,VOI
7,B.1.617.3,VOI
8,B.1.621,VOI
9,B.1.621.1,VOI
10,C.36.3,VOI
11,C.37,VOI
12,P.2,VOI
13,P.3,VOI
14,AY.1,VOC
15,AY.2,VOC
16,AY.3,VOC
17,AY.3.1,VOC
18,B.1.1.7,VOC
19,B.1.1.7 + S:E484K,VOC
20,B.1.351,VOC
21,B.1.351.2,VOC
22,B.1.351.3,VOC
23,B.1.617.2,VOC
24,P.1,VOC
25,P.1.1,VOC
26,P.1.2,VOC
